AddressID	AddressType	PersonID	Country	State	City	Street	Floor	Unit
1	Main	1.0	US	Alabama	Birmingham	80558 Gina Crossing		Room 1177
2	Main	2.0	US	Alabama	Gadsden	75 Towne Plaza		
3	Main	3.0	US	Alabama	Birmingham	25 Swallow Place		
4	Main	4.0	US	Alabama	Birmingham	8 Michigan Junction		
5	Main	5.0	US	Alabama	Birmingham	8 Mendota Drive		Apt 1844
6	Main	6.0	US	Alabama	Mobile	91437 Shasta Terrace		Apt 194
7	Main	7.0	US	Alabama	Montgomery	83577 West Terrace		Apt 521
8	Main	8.0	US	Alabama	Birmingham	4970 Ridgeway Avenue		Apt 221
9	Main	9.0	US	Alabama	Gadsden	83973 Corben Pass		Apt 980
10	Main	10.0	US	Alabama	Birmingham	38172 Ruskin Road		
11	Main	11.0	US	Alabama	Birmingham	2 Delaware Trail		
12	Main	12.0	US	Alabama	Birmingham	2 Nevada Street		Apt 446
13	Main	13.0	US	Alabama	Birmingham	9822 Fair Oaks Parkway		Room 1
14	Secondary	14.0	US	Oregon	Portland	5 Sauthoff Crossing		Apt 68
15	Main	14.0	US	Alabama	Birmingham	98 Bluestem Plaza		Apt 780
16	Main	15.0	US	Alabama	Birmingham	7 Milwaukee Park		
17	Main	16.0	US	Alabama	Birmingham	3590 Dahle Way		Apt 1952
18	Main	17.0	US	Alabama	Birmingham	8 Bunting Pass		Apt 923
19	Main	18.0	US	Alabama	Birmingham	108 Mccormick Pass		Apt 85
20	Secondary	19.0	US	Illinois	Aurora	1619 Nelson Junction		Room 85
21	Main	19.0	US	Alaska	Anchorage	309 Kenwood Avenue		
22	Main	20.0	US	Alaska	Anchorage	90 Dennis Circle		
23	Main	21.0	US	Alaska	Anchorage	7604 Mcbride Avenue		
24	Main	22.0	US	Alaska	Anchorage	1078 Mcbride Hill		
25	Main	23.0	US	Alaska	Anchorage	83 Eastwood Place		
26	Main	24.0	US	Alaska	Anchorage	4847 Granby Parkway		
27	Secondary	25.0	US	Washington	Spokane	98 Quincy Place		Room 1526
28	Main	25.0	US	Alaska	Anchorage	2849 Macpherson Alley		Apt 254
29	Main	26.0	US	Alaska	Anchorage	83105 West Point		
30	Main	27.0	US	Arizona	Prescott	0904 Weeping Birch Junction		Apt 960
31	Main	28.0	US	Arizona	Glendale	6820 Haas Plaza		
32	Main	29.0	US	Arizona	Scottsdale	5841 Dakota Way		
33	Main	30.0	US	Arizona	Phoenix	40 Walton Avenue		
34	Main	31.0	US	Arizona	Tucson	0245 Randy Parkway		Room 1040
35	Main	32.0	US	Arizona	Tucson	69 Gale Way		Apt 294
36	Main	33.0	US	Arizona	Tucson	22907 Havey Trail		Room 1034
37	Main	34.0	US	Arizona	Prescott	57905 Hallows Crossing		Apt 1814
38	Main	35.0	US	Arizona	Tucson	81138 Village Green Trail		
39	Main	36.0	US	Arizona	Prescott	21841 Fremont Hill		
40	Secondary	37.0	US	New York	Albany	68 Hanover Parkway		Room 856
41	Main	37.0	US	Arizona	Scottsdale	07725 Golf View Way		
42	Main	38.0	US	Arizona	Phoenix	2194 Ohio Drive		
43	Main	39.0	US	Arizona	Scottsdale	0590 Harbort Drive		
44	Main	40.0	US	Arizona	Phoenix	1674 Miller Place		Apt 632
45	Main	41.0	US	Arizona	Tucson	3023 Homewood Way		Apt 515
46	Main	42.0	US	Arizona	Tucson	374 Packers Hill		Apt 666
47	Main	43.0	US	Arizona	Phoenix	86 Morningstar Lane		
48	Secondary	44.0	US	Mississippi	Jackson	794 Westridge Center		Apt 23
49	Main	44.0	US	Arizona	Phoenix	078 Iowa Point		
52	Secondary	45.0	US	Virginia	Roanoke	8200 Cottonwood Terrace	12.0	
53	Main	45.0	US	Arizona	Scottsdale	7969 Schlimgen Road		
54	Main	46.0	US	Arizona	Phoenix	8 Forest Dale Road		
55	Main	47.0	US	Arizona	Tucson	9 Melody Road		
56	Main	48.0	US	Arizona	Tempe	10001 Killdeer Alley		Apt 409
57	Main	49.0	US	Arizona	Glendale	1028 Nobel Point		Apt 696
58	Secondary	50.0	US	Arizona	Phoenix	50 Barnett Street	10.0	
59	Main	50.0	US	Arizona	Scottsdale	05 Superior Crossing		
60	Main	51.0	US	Arizona	Scottsdale	2 Orin Crossing		
61	Main	52.0	US	Arizona	Phoenix	1 Gerald Place		
62	Main	53.0	US	Arizona	Phoenix	80550 Norway Maple Circle		Apt 71
63	Main	54.0	US	Arizona	Tucson	5078 Shoshone Avenue		Apt 671
64	Main	55.0	US	Arkansas	Hot Springs National Park	888 Butternut Drive		Apt 1889
65	Main	56.0	US	Arkansas	Hot Springs National Park	6319 Corben Avenue		Apt 1918
66	Main	57.0	US	Arkansas	Little Rock	95 Bay Drive		
67	Main	58.0	US	California	San Bernardino	3 Wayridge Center		
68	Main	59.0	US	California	San Diego	897 Annamark Pass		
69	Main	60.0	US	California	Moreno Valley	5920 Crownhardt Drive		
70	Main	61.0	US	California	San Bernardino	2984 Florence Hill		Room 1122
71	Main	62.0	US	California	Oakland	5 Parkside Park		
72	Main	63.0	US	California	Petaluma	41262 Gateway Drive		Apt 1782
73	Main	64.0	US	California	San Jose	4049 Hayes Place		
74	Main	65.0	US	California	San Jose	83 Monterey Crossing		
75	Main	66.0	US	California	Santa Barbara	7 Sage Place		Apt 932
76	Secondary	67.0	US	Texas	Dallas	89870 Nevada Circle		Apt 437
77	Main	67.0	US	California	San Francisco	6469 Shelley Terrace		
78	Main	68.0	US	California	Sacramento	3 Holy Cross Drive		Apt 435
79	Main	69.0	US	California	Los Angeles	3388 Kinsman Parkway		
80	Main	70.0	US	California	San Francisco	1031 Hallows Place		Apt 63
81	Main	71.0	US	California	San Francisco	4286 Havey Crossing		Apt 678
82	Main	72.0	US	California	Long Beach	7 Caliangt Alley		Room 1176
83	Secondary	73.0	US	Indiana	Indianapolis	24 Independence Parkway	16.0	
84	Main	73.0	US	California	Los Angeles	95676 Texas Hill		
85	Main	74.0	US	California	Los Angeles	94788 Bartillon Drive		Apt 1789
86	Main	75.0	US	California	Fresno	03469 Raven Hill		Apt 609
87	Main	76.0	US	California	Oakland	1 Westridge Hill		Apt 686
88	Main	77.0	US	California	San Jose	81055 Hazelcrest Hill		Apt 829
89	Secondary	78.0	US	Georgia	Atlanta	4 Harper Place	11.0	
90	Main	78.0	US	California	Burbank	80 Stang Crossing		Apt 756
91	Main	79.0	US	California	Fresno	714 Bashford Avenue		
92	Main	80.0	US	California	Anaheim	7121 Vahlen Lane		
93	Main	81.0	US	California	Los Angeles	8415 Eastlawn Alley		Apt 995
94	Main	82.0	US	California	San Jose	842 Mallory Parkway		
95	Main	83.0	US	California	Long Beach	792 Golf View Trail		
96	Main	84.0	US	California	Sacramento	1 Twin Pines Street		
97	Secondary	85.0	US	Wisconsin	Green Bay	13418 Logan Hill		Suite 27
98	Main	85.0	US	California	Santa Cruz	431 Sachs Avenue		
99	Main	86.0	US	California	San Jose	7638 Moose Parkway		
100	Main	87.0	US	California	Riverside	9 Dovetail Circle		
101	Main	88.0	US	California	Salinas	121 Fieldstone Street		Apt 968
102	Main	89.0	US	California	Los Angeles	692 Armistice Center		
103	Main	90.0	US	California	San Jose	21 Chive Avenue		
104	Main	91.0	US	California	San Diego	349 Ridgeway Road		
105	Main	92.0	US	California	Newport Beach	1801 Melvin Terrace		
106	Main	93.0	US	California	San Diego	26873 Loeprich Plaza		Apt 916
107	Main	94.0	US	California	Moreno Valley	8591 Logan Hill		
108	Main	95.0	US	California	Salinas	516 Eastwood Plaza		
109	Main	96.0	US	California	San Diego	8408 Schurz Hill		
110	Main	97.0	US	California	Sacramento	0778 Ramsey Terrace		Apt 309
111	Main	98.0	US	California	Fresno	97126 Mitchell Trail		
112	Main	99.0	US	California	San Jose	6 Harbort Parkway		
113	Main	100.0	US	California	Van Nuys	212 Westport Junction		Room 112
114	Main	101.0	US	California	Sunnyvale	179 Basil Way		Apt 906
115	Main	102.0	US	California	Fullerton	7 Birchwood Street		
116	Main	103.0	US	California	San Jose	102 Mandrake Park		
117	Main	104.0	US	California	Sacramento	32641 Warner Alley		Apt 616
118	Secondary	105.0	US	Florida	Ocala	3713 Roxbury Point		Suite 15
119	Main	105.0	US	California	Moreno Valley	01890 Knutson Circle		
120	Main	106.0	US	California	Long Beach	0759 Merchant Park		
121	Main	107.0	US	California	South Lake Tahoe	6 Waubesa Terrace		
122	Main	108.0	US	California	Los Angeles	1617 Bunting Junction		
123	Main	109.0	US	California	Los Angeles	59956 East Alley		Apt 771
124	Main	110.0	US	California	San Francisco	3294 Buena Vista Pass		
125	Main	111.0	US	California	San Francisco	8 Bay Way		
126	Main	112.0	US	California	San Bernardino	8 Rusk Trail		Apt 646
127	Main	113.0	US	California	Glendale	6 Springview Drive		
128	Secondary	114.0	US	Massachusetts	Springfield	780 Michigan Crossing		Suite 72
129	Main	114.0	US	California	San Bernardino	70 Tennyson Park		Apt 448
131	Secondary	115.0	US	Texas	Tyler	34 Quincy Crossing	1.0	
132	Main	115.0	US	California	Orange	7 Longview Pass		
133	Secondary	116.0	US	Arizona	Mesa	0693 Killdeer Park		
134	Main	116.0	US	California	Fresno	49820 Annamark Parkway		
135	Main	117.0	US	California	Santa Barbara	8 Kim Trail		
136	Main	118.0	US	California	Oakland	487 6th Road		
137	Main	119.0	US	California	Sacramento	2258 Blaine Street		Apt 441
138	Main	120.0	US	California	Fresno	58241 Parkside Junction		Apt 635
139	Main	121.0	US	California	Los Angeles	39085 Sunbrook Road		
140	Main	122.0	US	California	Los Angeles	948 Esker Avenue		Apt 617
141	Main	123.0	US	California	Pasadena	51 Straubel Plaza		
142	Main	124.0	US	California	San Jose	1398 Towne Center		
143	Main	125.0	US	California	Los Angeles	8 Crownhardt Pass		
144	Main	126.0	US	California	San Francisco	78613 Dryden Hill		
145	Main	127.0	US	California	Riverside	746 Eliot Avenue		
146	Main	128.0	US	California	Sacramento	2 Manufacturers Drive		Apt 47
147	Main	129.0	US	California	San Diego	69495 Esch Avenue		
148	Main	130.0	US	California	San Jose	928 Cherokee Trail		Apt 387
149	Main	131.0	US	California	San Diego	10 Nevada Way		Apt 1990
150	Secondary	132.0	US	Florida	Jacksonville	0548 Del Mar Parkway		Apt 1205
151	Main	132.0	US	California	Fresno	4790 Kedzie Drive		Apt 1927
152	Main	133.0	US	California	Corona	9634 Little Fleur Junction		Apt 1979
153	Main	134.0	US	California	San Diego	90418 Doe Crossing Road		Apt 873
154	Main	135.0	US	California	San Diego	89390 Mosinee Road		
155	Main	136.0	US	California	Northridge	167 Iowa Point		Apt 359
156	Main	137.0	US	California	Fresno	08 Michigan Lane		
157	Main	138.0	US	California	Sacramento	74348 Schurz Park		
158	Main	139.0	US	California	Van Nuys	8346 Morrow Avenue		
159	Secondary	140.0	US	Texas	Wichita Falls	112 Loftsgordon Road		Suite 41
160	Main	140.0	US	California	San Jose	4 Sauthoff Alley		
161	Main	141.0	US	California	Oakland	51866 Holy Cross Place		
162	Main	142.0	US	California	Los Angeles	3309 Pankratz Avenue		
163	Main	143.0	US	California	Los Angeles	594 Waywood Circle		Room 1006
164	Main	144.0	US	California	Los Angeles	08009 Fallview Pass		
165	Main	145.0	US	California	San Francisco	0 Susan Court		Apt 1798
166	Main	146.0	US	California	Sacramento	44986 Gale Circle		
167	Main	147.0	US	California	San Diego	40699 Manitowish Circle		
168	Main	148.0	US	California	San Bernardino	205 Del Sol Circle		
169	Main	149.0	US	California	Santa Cruz	62109 Maryland Way		
170	Main	150.0	US	Colorado	Denver	10 Killdeer Drive		Apt 431
171	Main	151.0	US	Colorado	Pueblo	10 Roxbury Place		
172	Main	152.0	US	Colorado	Pueblo	3127 Lyons Hill		
173	Main	153.0	US	Colorado	Boulder	345 Fisk Hill		
174	Main	154.0	US	Colorado	Pueblo	51 Roth Drive		Apt 306
175	Main	155.0	US	Colorado	Littleton	8439 David Point		
176	Secondary	156.0	US	Florida	Daytona Beach	12 La Follette Road	10.0	
177	Main	156.0	US	Connecticut	Hartford	72244 Bayside Center		Apt 742
178	Main	157.0	US	Connecticut	West Hartford	327 East Drive		Apt 497
179	Secondary	158.0	US	Iowa	Davenport	2614 Killdeer Lane	3.0	
180	Main	158.0	US	Connecticut	Waterbury	44 Debs Park		
181	Main	159.0	US	Connecticut	New Haven	9 Grim Court		Apt 359
182	Main	160.0	US	Connecticut	Hartford	88993 Dovetail Trail		Room 1078
183	Main	161.0	US	Connecticut	Waterbury	0435 Lillian Way		
184	Main	162.0	US	Connecticut	New Haven	14531 Northridge Trail		Room 1149
185	Main	163.0	US	Connecticut	Waterbury	4 Anderson Road		
186	Main	164.0	US	Delaware	Wilmington	36 1st Pass		
187	Main	165.0	US	Delaware	Newark	024 Morrow Park		
188	Main	166.0	US	Delaware	Wilmington	28770 Elgar Place		
189	Main	167.0	US	Delaware	Newark	32490 Paget Road		Apt 465
190	Main	168.0	US	Delaware	Wilmington	8 Swallow Parkway		
191	Main	169.0	US	District of Columbia	Washington	1915 Sloan Crossing		
192	Main	170.0	US	District of Columbia	Washington	175 Kim Drive		Room 100
193	Main	171.0	US	District of Columbia	Washington	364 Farwell Alley		
194	Secondary	172.0	US	Ohio	Hamilton	07 Nancy Place		Suite 87
195	Main	172.0	US	District of Columbia	Washington	3 Elmside Park		Apt 554
196	Main	173.0	US	District of Columbia	Washington	4 Ridge Oak Lane		
197	Main	174.0	US	District of Columbia	Washington	5265 Express Place		
198	Main	175.0	US	District of Columbia	Washington	2227 Schiller Drive		Room 1091
199	Main	176.0	US	District of Columbia	Washington	74080 Elka Hill		
200	Main	177.0	US	District of Columbia	Washington	78507 Elgar Drive		Apt 188
201	Main	178.0	US	District of Columbia	Washington	45183 Corben Avenue		
202	Main	179.0	US	District of Columbia	Washington	19657 Cottonwood Trail		
203	Main	180.0	US	District of Columbia	Washington	26614 Banding Place		
204	Main	181.0	US	District of Columbia	Washington	592 Delladonna Crossing		Apt 1907
205	Main	182.0	US	District of Columbia	Washington	73 Pine View Circle		Apt 445
206	Main	183.0	US	District of Columbia	Washington	7 Jackson Park		
207	Main	184.0	US	District of Columbia	Washington	77349 7th Avenue		Apt 74
208	Main	185.0	US	District of Columbia	Washington	48 Pankratz Lane		Apt 796
209	Main	186.0	US	Florida	Pensacola	41901 Clemons Pass		
